Gene,Gene_wo_suffix,PA14_locus,pae,paev,paei,pau,pap,pag,paf,pnc,paeb,pdk,psg,prp,paep,paer,paem,pael,paes,paeu,paeg,paec,paeo
ndk,ndk,PA14_14820,"pae00230,pae00240,pae01100,pae01110,pae01240","paev00230,paev00240,paev01100,paev01110,paev01240","paei00230,paei00240,paei01100,paei01110,paei01240","pau00230,pau00240,pau01100,pau01110,pau01240","pap00230,pap00240,pap01100,pap01110,pap01240","pag00230,pag00240,pag01100,pag01110,pag01240","paf00230,paf00240,paf01100,paf01110,paf01240","pnc00230,pnc00240,pnc01100,pnc01110,pnc01240","paeb00230,paeb00240,paeb01100,paeb01110,paeb01240",,"psg00230,psg00240,psg01100,psg01110,psg01240",,,,,,,,,,
PA14_14830,PA14,PA14_14830,,,,,,,,,,,,,,,,,,,,,
pilF,pilF,PA14_14850,,,,,,,,,,,,,,,,,,,,,
PA14_14860,PA14,PA14_14860,,,,,,,,,,,,,,,,,,,,,
ispG,ispG,PA14_14880,,,,,,,,,,,,,,,,,,,,,
hisS,hisS,PA14_14890,,,,,,,,,,,,,,,,pael00970,,,paeg00970,paec00970,paeo00970
PA14_01380,PA14,PA14_01380,,,,"pau00190,pau00860,pau01100,pau01110,pau01240",,,,,,,,,,,,,,,,,
PA14_14900,PA14,PA14_14900,,,,,,,,,,,,,,,,,,,,,
PA14_14910,PA14,PA14_14910,,,,,,,,,,,,,,,,,,,,,
engA,engA,PA14_14930,,,,,,,,,,,,,,,,,,,,,
PA14_14940,PA14,PA14_14940,,,,,,,,,,,,,,,,,,,,,
PA14_14960,PA14,PA14_14960,,,,"pau00250,pau01100",,,,,,,,,,,,,,,,,
PA14_14975,PA14,PA14_14975,,,,,,,,,,,,,,,,,,,,,
PA14_14990,PA14,PA14_14990,,,,,,,,,,,,,,,,,,,,,
PA14_15000,PA14,PA14_15000,,,,,,,,,,,,,,,,,,,,,
PA14_15020,PA14,PA14_15020,,,,,,,,,,,,,,,,,,,,,
leuA,leuA,PA14_15030,,,,,,,,,,,,,,,,,,"paeu00290,paeu00620,paeu01100,paeu01110,paeu01210,paeu01230",,"paec00290,paec00620,paec01100,paec01110,paec01210,paec01230","paeo00290,paeo00620,paeo01100,paeo01110,paeo01210,paeo01230"
PA14_01390,PA14,PA14_01390,,,,,,,,,,,,,,,,,,,,,
PA14_15050,PA14,PA14_15050,,,,,,,,,,,,,,,,,,,,,
oprC,oprC,PA14_15070,,,,,,,,,,,,,,,,,,,,,
PA14_15080,PA14,PA14_15080,,,,,,,,,,,,,,,,,,,,,
PA14_15090,PA14,PA14_15090,,,,,,,,,,,,,,,,,,,,,
PA14_15100,PA14,PA14_15100,,,,,,,,,,,,,,,,,,,,,
PA14_15110,PA14,PA14_15110,,,,,,,,,,,,,,,,,,,,,
PA14_15120,PA14,PA14_15120,,,,,,,,,,,,,,,,,,,,,
PA14_15130,PA14,PA14_15130,,,,,,,,,,,,,,,,,,,,,
